stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
8781,255,משרד המשפטים/צלאח א דין,רחוב: סלאח א דין 36 עיר: ירושלים רציף:  קומה: ,31.787402,35.229997
8783,257,דרך שכם/לואי ונסן,רחוב: דרך שכם 55 עיר: ירושלים רציף:  קומה: ,31.789365,35.229001
8787,264,דרך שכם/טובלר,רחוב: דרך שכם 45 עיר: ירושלים רציף:  קומה: ,31.792304,35.229086
8870,427,קציר/קלרמון גנו,רחוב: אהרון קציר עיר: ירושלים רציף:  קומה: ,31.795666,35.234983
9046,645,ויצמן/גבעת שאול,רחוב: שדרות וייצמן עיר: ירושלים רציף:  קומה: ,31.790348,35.197526
9281,903,ארץ חפץ/שמעון הצדיק,רחוב: ארץ חפץ 13 עיר: ירושלים רציף:  קומה: ,31.794884,35.22372
9301,938,מרכז פיליפ ליאון/סולד,רחוב: הנרייטה סולד 7 עיר: ירושלים רציף:  קומה: ,31.760631,35.170154
9305,942,פארק פישמן/גולומב,רחוב: גולומב 23 עיר: ירושלים רציף:  קומה: ,31.759924,35.178872
9312,949,הרצוג/ניות,רחוב: הרב הרצוג עיר: ירושלים רציף:  קומה: ,31.766091,35.204282
9334,972,הכפר השוודי/סולד,רחוב: הנרייטה סולד 17 עיר: ירושלים רציף:  קומה: ,31.759652,35.167085
9373,1013,בן זכאי/בן בבא,רחוב: רבן יוחנן בן זכאי 35 עיר: ירושלים רציף:  קומה: ,31.757724,35.20676
9374,1014,בני בתירא/בן זכאי,רחוב: בני בתירא 4 עיר: ירושלים רציף:  קומה: ,31.756565,35.204087
9375,1015,בן זכאי/בן בבא,רחוב: רבן יוחנן בן זכאי 58 עיר: ירושלים רציף:  קומה: ,31.75699,35.205754
9376,1016,בני בתירא/בן זכאי,רחוב: בני בתירא 7 עיר: ירושלים רציף:  קומה: ,31.75658,35.203887
9377,1017,בן זכאי/דוסתאי,רחוב: רבן יוחנן בן זכאי 27 עיר: ירושלים רציף:  קומה: ,31.758875,35.20864
9381,1021,בן זכאי/בן גמלא,רחוב: רבן יוחנן בן זכאי 15 עיר: ירושלים רציף:  קומה: ,31.759151,35.211104
9382,1022,בן זכאי/פייר קניג,רחוב: רבן יוחנן בן זכאי 3 עיר: ירושלים רציף:  קומה: ,31.758975,35.214613
9384,1024,בן זכאי/פייר קניג,רחוב: רבן יוחנן בן זכאי 4 עיר: ירושלים רציף:  קומה: ,31.759129,35.213552
9385,1025,בן זכאי/בן גמלא,רחוב: רבן יוחנן בן זכאי 24 עיר: ירושלים רציף:  קומה: ,31.759293,35.210953
9388,1028,פייר קניג/חלץ,רחוב: גנרל פייר קניג 11 עיר: ירושלים רציף:  קומה: ,31.756866,35.214837
9395,1039,טשרניחובסקי/הרצוג,רחוב: טשרניחובסקי 3 עיר: ירושלים רציף:  קומה: ,31.768817,35.208391
9408,1053,טשרניחובסקי/פיכמן,רחוב: טשרניחובסקי 40 עיר: ירושלים רציף:  קומה: ,31.765811,35.20603
9409,1054,הרצוג/טשרניחובסקי,רחוב: הרב הרצוג 21 עיר: ירושלים רציף:  קומה: ,31.769609,35.209732
9425,1079,עזה/בלפור,רחוב: שדרות בן מיימון 10 עיר: ירושלים רציף:  קומה: ,31.773964,35.216872
9426,1080,רמב''ן/אבן עזרא,רחוב: רמב''ן 24 עיר: ירושלים רציף:  קומה: ,31.774608,35.214336
9434,1171,יחזקאל/רבנו גרשום,רחוב: יחזקאל 34 עיר: ירושלים רציף:  קומה: ,31.792065,35.220651
9456,1255,קניון הדר/פייר קניג,רחוב: גנרל פייר קניג 31 עיר: ירושלים רציף:  קומה: ,31.754216,35.214349
9457,1258,פייר קניג/חלץ,רחוב: גנרל פייר קניג 16 עיר: ירושלים רציף:  קומה: ,31.756199,35.21459
9485,1352,שד' אשכול/משמר הגבול,רחוב: שדרות לוי אשכול עיר: ירושלים רציף:  קומה: ,31.797691,35.222887
9503,1435,שד' צ'רצ'יל/קציר,רחוב: שדרות צ'רצ'יל עיר: ירושלים רציף:  קומה: ,31.797859,35.238757
9504,1444,הדסה הר הצופים/שד' צ'רצ'יל,רחוב: שדרות צ'רצ'יל עיר: ירושלים רציף:  קומה: ,31.796935,35.240619
9505,1445,האוניברסיטה העברית/שד' צ'רצ'יל,רחוב: שדרות צ'רצ'יל עיר: ירושלים רציף:  קומה: ,31.795702,35.241936
9523,1484,עזה/רד''ק,רחוב: דרך עזה 13 עיר: ירושלים רציף:  קומה: ,31.773178,35.215131
9526,1487,מסוף 700/שד' נווה יעקב,רחוב: שדרות נווה יעקב 7 עיר: ירושלים רציף:  קומה: ,31.837748,35.231598
9538,1511,טהון/גולומב,רחוב: יעקב טהון עיר: ירושלים רציף:  קומה: ,31.761447,35.175929
9546,1525,צומת פת/הרב הרצוג,רחוב: הרב הרצוג עיר: ירושלים רציף:  קומה: ,31.758025,35.198555
9547,1526,הרב הרצוג/שח''ל,רחוב: הרב הרצוג עיר: ירושלים רציף:  קומה: ,31.762081,35.200164
9555,1544,קק''ל/אוסישקין,רחוב: הקרן הקיימת לישראל 33 עיר: ירושלים רציף:  קומה: ,31.776875,35.212779
9557,1546,אוסישקין/נרקיס,רחוב: מנחם אוסישקין 48 עיר: ירושלים רציף:  קומה: ,31.779297,35.212342
9559,1555,אוסישקין/בצלאל,רחוב: מנחם אוסישקין 63 עיר: ירושלים רציף:  קומה: ,31.781115,35.21203
9562,1575,עזה/הרב ברלין,רחוב: דרך עזה 57 עיר: ירושלים רציף:  קומה: ,31.770264,35.211823
9564,1586,גולומב/סן מרטין,רחוב: גולומב עיר: ירושלים רציף:  קומה: ,31.756636,35.195429
9584,1620,בן זכאי/דוסתאי,רחוב: רבן יוחנן בן זכאי 48 עיר: ירושלים רציף:  קומה: ,31.758461,35.207363
9593,1629,יהודה הנשיא/בן יאיר,רחוב: יהודה הנשיא 14 עיר: ירושלים רציף:  קומה: ,31.755975,35.200883
9594,1630,טשרניחובסקי א',רחוב: טשרניחובסקי 45 עיר: ירושלים רציף:  קומה: ,31.764568,35.204992
9599,1655,ש''י עגנון/קצנלסון,רחוב: שדרות ש''י עגנון 15 עיר: ירושלים רציף:  קומה: ,31.761041,35.204833
9623,1731,שדרות לוי אשכול/קרל נטר,רחוב: שדרות לוי אשכול עיר: ירושלים רציף:  קומה: ,31.799515,35.225737
9633,1754,קניון הדר/פייר קניג,רחוב: גנרל פייר קניג 30 עיר: ירושלים רציף:  קומה: ,31.752325,35.213858
9683,1856,צומת אורנים/פייר קניג,רחוב: גנרל פייר קניג עיר: ירושלים רציף:  קומה: ,31.758565,35.215224
9684,1858,צומת אורנים/פייר קניג,רחוב: גנרל פייר קניג עיר: ירושלים רציף:  קומה: ,31.7587,35.215145
9693,1905,חוות הנוער הציוני\ש''י עגנון,רחוב: שדרות ש''י עגנון 22 עיר: ירושלים רציף:  קומה: ,31.758965,35.20513
9700,1927,שד' אשכול/בר לב,רחוב: שדרות לוי אשכול עיר: ירושלים רציף:  קומה: ,31.799996,35.231163
9730,2024,בצלאל/טרומפלדור,רחוב: בן יהודה עיר: ירושלים רציף:  קומה: ,31.780632,35.213815
9740,2040,גולומב/בוליביה,רחוב: גולומב עיר: ירושלים רציף:  קומה: ,31.757533,35.181578
9809,2181,פת/יהודה הנשיא,רחוב: יעקב פת עיר: ירושלים רציף:  קומה: ,31.755318,35.199146
9820,2246,הנביאים/הע''ח,רחוב: הנביאים 5 עיר: ירושלים רציף:  קומה: ,31.783646,35.226081
9822,2258,שד' הזז/הרצוג,רחוב: שדרות חיים הזז עיר: ירושלים רציף:  קומה: ,31.770501,35.209041
9824,2260,טשרניחובסקי/הרצוג,רחוב: טשרניחובסקי 6 עיר: ירושלים רציף:  קומה: ,31.76883,35.208226
9825,2261,טשרניחובסקי/הרב חן,רחוב: טשרניחובסקי 18 עיר: ירושלים רציף:  קומה: ,31.768122,35.206474
9863,2314,כניסה ראשית/הדסה עין כרם,רחוב:   עיר: ירושלים רציף:  קומה: ,31.765889,35.147753
9864,2323,מרכז הסטודנט/הדסה עין כרם,רחוב:   עיר: ירושלים רציף:  קומה: ,31.763712,35.150124
9893,2391,גולומב/הצלם רחמים,רחוב: גולומב 122 עיר: ירושלים רציף:  קומה: ,31.754381,35.186414
9896,2399,עמק המצלבה/שד' הזז,רחוב: שדרות חיים הזז עיר: ירושלים רציף:  קומה: ,31.775313,35.208951
9907,2410,דרך הר הזיתים/נשאשיבי,רחוב: דרך הר הזיתים 22 עיר: ירושלים רציף:  קומה: ,31.792842,35.232494
9914,2424,המטה הארצי/קלרמון גנו,רחוב: קלרמון גאנו 5 עיר: ירושלים רציף:  קומה: ,31.796605,35.231995
9973,2540,פועלי צדק,רחוב: פועלי צדק עיר: ירושלים רציף:  קומה: ,31.75329,35.215168
10000,2569,השישה עשר/משה דיין,רחוב: השישה עשר 4 עיר: ירושלים רציף:  קומה: ,31.827554,35.240983
10003,2573,השישה עשר,רחוב: השישה עשר 18 עיר: ירושלים רציף:  קומה: ,31.827839,35.243073
10011,2590,חוות הנוער הציוני/ש''י עגנון,רחוב: שדרות ש''י עגנון 25 עיר: ירושלים רציף:  קומה: ,31.758993,35.205317
10012,2591,טשרניחובסקי/פיכמן,רחוב: טשרניחובסקי 39 עיר: ירושלים רציף:  קומה: ,31.765555,35.206155
10034,2620,הסיירת הירושלמית,רחוב: הסיירת הירושלמית 3 עיר: ירושלים רציף:  קומה: ,31.82764,35.245081
10037,2624,חיל האויר/סיירת דוכיפת,רחוב: חיל האוויר 8 עיר: ירושלים רציף:  קומה: ,31.829661,35.247131
10054,2707,חיל האויר/השישה עשר,רחוב: חיל האוויר 17 עיר: ירושלים רציף:  קומה: ,31.831163,35.245921
10055,2708,חיל האויר/הסיירת הירושלמית,רחוב: חיל האוויר 31 עיר: ירושלים רציף:  קומה: ,31.833043,35.244189
10057,2710,חיל האויר/לסקוב,רחוב: חיל האוויר 51 עיר: ירושלים רציף:  קומה: ,31.833353,35.241762
10078,2753,קצנלסון/ש''י עגנון,רחוב: יצחק קצנלסון 7 עיר: ירושלים רציף:  קומה: ,31.761807,35.2031
10079,2754,המפלצת/טהון,רחוב: יעקב טהון 2 עיר: ירושלים רציף:  קומה: ,31.761865,35.1725
10112,2802,יקותיאל אדם/דוד ניב,רחוב: אלוף יקותיאל אדם עיר: ירושלים רציף:  קומה: ,31.81926,35.238521
10114,2804,יקותיאל אדם/תמיר,רחוב: אלוף יקותיאל אדם עיר: ירושלים רציף:  קומה: ,31.818957,35.237595
10116,2806,תחנת רקל''ה פסגת זאב מרכז/משה דיין,רחוב: שדרות משה דיין עיר: ירושלים רציף:  קומה: ,31.823881,35.237535
10121,2813,תחנת רקל''ה שמעון הצדיק/שדרות בר לב,רחוב: שדרות חיים ברלב עיר: ירושלים רציף:  קומה: ,31.794363,35.227245
10128,2825,חיל האויר/הארבעה,רחוב: חיל האוויר עיר: ירושלים רציף:  קומה: ,31.832887,35.240239
10129,2826,חיל האויר/גדוד חרמש,רחוב: חיל האוויר 60 עיר: ירושלים רציף:  קומה: ,31.829856,35.239848
10131,2830,האדמורים ליינער,רחוב: האדמו''רים ליינער עיר: ירושלים רציף:  קומה: ,31.798761,35.218142
10151,2855,משה דיין א,רחוב: שדרות משה דיין 67 עיר: ירושלים רציף:  קומה: ,31.830338,35.23671
10152,2856,שדרות משה דיין/מזל שור,רחוב: שדרות משה דיין 41 עיר: ירושלים רציף:  קומה: ,31.833259,35.234819
10160,2882,שדרות משה דיין/משה רחמילביץ,רחוב: שדרות משה דיין עיר: ירושלים רציף:  קומה: ,31.822347,35.238029
10168,2899,בר לב/שבטי ישראל,רחוב: שדרות חיים ברלב עיר: ירושלים רציף:  קומה: ,31.78776,35.227006
10176,2922,קניון מלחה/א''ס הפועל   האייל,רחוב: דרך אגודת ספורט הפועל עיר: ירושלים רציף:  קומה: ,31.752724,35.187989
10233,3004,דולצ'ין,רחוב: אריה דולצ'ין 5 עיר: ירושלים רציף:  קומה: ,31.751515,35.168508
10256,3027,מרכז מסחרי/דולצ'ין,רחוב: אריה דולצ'ין 21 עיר: ירושלים רציף:  קומה: ,31.749521,35.169806
10320,3097,פת/בעהם,רחוב: יעקב פת עיר: ירושלים רציף:  קומה: ,31.752356,35.200811
10402,3230,חיל ההנדסה/נעמי קיס,רחוב: חיל ההנדסה עיר: ירושלים רציף:  קומה: ,31.785275,35.227493
10417,3245,הדישון/השועל,רחוב: הדישון 19 עיר: ירושלים רציף:  קומה: ,31.752664,35.18176
10418,3246,האייל ב',רחוב: האייל 67 עיר: ירושלים רציף:  קומה: ,31.749213,35.181757
10419,3249,האייל ג',רחוב: האייל 45 עיר: ירושלים רציף:  קומה: ,31.751147,35.182136
10420,3250,האייל/היען,רחוב: האייל 25 עיר: ירושלים רציף:  קומה: ,31.753255,35.184055
10456,3300,האומן/ברעם,רחוב: האומן עיר: ירושלים רציף:  קומה: ,31.746675,35.213175
10457,3301,האומן/הסדנא,רחוב: האומן 8 עיר: ירושלים רציף:  קומה: ,31.748705,35.211292
10458,3302,האומן/הסדנא,רחוב: האומן 11 עיר: ירושלים רציף:  קומה: ,31.748827,35.211063
10460,3304,הסדנא/פייר קניג,רחוב: הסדנא 18 עיר: ירושלים רציף:  קומה: ,31.75012,35.212684
10474,3324,ברעם/האומן,רחוב: דרך משה ברעם עיר: ירושלים רציף:  קומה: ,31.745867,35.212968
10519,3379,הנביאים/הרב קוק,רחוב: הנביאים 37 עיר: ירושלים רציף:  קומה: ,31.783673,35.221369
10595,3561,קוליץ/האביבית,רחוב: דרך חיים ע. קוליץ עיר: ירושלים רציף:  קומה: ,31.752349,35.167544
10626,3605,המלך ג'ורג'/בן יהודה,רחוב: המלך ג'ורג' 21 עיר: ירושלים רציף:  קומה: ,31.78082,35.216057
10647,3637,שדרות חיים ברלב/שדרות האוניברסיטה העברית,רחוב: שדרות חיים ברלב עיר: ירושלים רציף:  קומה: ,31.800347,35.233288
10665,3668,הדישון/האייל,רחוב: האייל 77 עיר: ירושלים רציף:  קומה: ,31.749309,35.180254
10675,3678,ארץ חפץ/חטיבת הראל,רחוב: ארץ חפץ 3 עיר: ירושלים רציף:  קומה: ,31.796723,35.222853
10681,3818,שטראוס/פראג,רחוב: נתן שטראוס 16 עיר: ירושלים רציף:  קומה: ,31.785907,35.219003
10702,3849,תחנת רקל''ה חיל האויר/משה דיין,רחוב: שדרות משה דיין 83 עיר: ירושלים רציף:  קומה: ,31.829123,35.238182
10710,3857,המלך ג'ורג'/קק''ל,רחוב: המלך ג'ורג' 43 עיר: ירושלים רציף:  קומה: ,31.77773,35.216156
10711,3858,ככר השבת/שטראוס,רחוב: נתן שטראוס 28 עיר: ירושלים רציף:  קומה: ,31.787308,35.218747
10733,4037,יחזקאל/הושע,רחוב: יחזקאל 16 עיר: ירושלים רציף:  קומה: ,31.789988,35.219015
10738,4044,טשרניחובסקי/קצנלסון,רחוב: טשרניחובסקי 57 עיר: ירושלים רציף:  קומה: ,31.763694,35.202961
10739,4050,טשרניחובסקי/הרב חן,רחוב: טשרניחובסקי 25 עיר: ירושלים רציף:  קומה: ,31.767191,35.206078
10742,4075,שמגר/אוהל יהושע,רחוב: שמגר 24 עיר: ירושלים רציף:  קומה: ,31.795289,35.207757
10761,4173,תחנת רקל''ה יפו מרכז/המלך ג'ורג',רחוב: המלך ג'ורג' 3 עיר: ירושלים רציף:  קומה: ,31.782863,35.217585
10775,4216,גשר המיתרים/שד' הרצל,רחוב: שדרות הרצל עיר: ירושלים רציף:  קומה: ,31.787162,35.199533
10780,4256,גולומב/קוליץ,רחוב: גולומב 106 עיר: ירושלים רציף:  קומה: ,31.755666,35.183779
10846,5200,שדרות שז''ר/בנייני האומה,רחוב: שדרות שז''ר עיר: ירושלים רציף:  קומה: ,31.78776,35.203598
11227,5592,צומת אורה,רחוב: קלמן יעקב מן עיר: ירושלים רציף:  קומה: ,31.757147,35.159936
11292,5667,שפע חיים/דורש טוב,רחוב: שפע חיים עיר: ירושלים רציף:  קומה: ,31.79731,35.212587
11479,5854,תחנת רקל''ה סיירת דוכיפת/משה דיין,רחוב: שדרות משה דיין 129 עיר: ירושלים רציף:  קומה: ,31.826083,35.240423
11516,5891,הדישון/מעלות אייל,רחוב: הדישון 9 עיר: ירושלים רציף:  קומה: ,31.751244,35.181057
11520,5895,בי''ס דנמרק/יהודה הנשיא,רחוב: יהודה הנשיא 28 עיר: ירושלים רציף:  קומה: ,31.755095,35.203104
11548,5923,האייל א',רחוב: האייל 73 עיר: ירושלים רציף:  קומה: ,31.748483,35.181159
11576,5951,שדרות בר לב/זקס,רחוב: שדרות חיים ברלב עיר: ירושלים רציף:  קומה: ,31.790378,35.22673
11604,5979,שד' הזז/הרצוג,רחוב: שדרות חיים הזז עיר: ירושלים רציף:  קומה: ,31.770488,35.208835
11612,5987,הסדנא/פייר קניג,רחוב: הסדנא 14 עיר: ירושלים רציף:  קומה: ,31.75018,35.213997
11613,5988,יד חרוצים/התנופה,רחוב: יד חרוצים 23 עיר: ירושלים רציף:  קומה: ,31.750171,35.215654
11629,6004,אריה דולצ'ין/יעקב צור,רחוב: אריה דולצ'ין 124 עיר: ירושלים רציף:  קומה: ,31.751153,35.16763
11706,6081,דולצ'ין/נחמיה,רחוב: אריה דולצ'ין 108 עיר: ירושלים רציף:  קומה: ,31.748795,35.167978
11811,9882,קוליץ/שולוב,רחוב: דרך חיים ע. קוליץ עיר: ירושלים רציף:  קומה: ,31.750949,35.178999
11836,9907,מדרשת נשמת/ברל לוקר,רחוב: ברל לוקר 21 עיר: ירושלים רציף:  קומה: ,31.749373,35.201965
11837,9908,ברל לוקר/ארסט,רחוב: ברל לוקר 7 עיר: ירושלים רציף:  קומה: ,31.751127,35.200837
11850,9921,יד חרוצים/פועלי צדק,רחוב: יד חרוצים 9 עיר: ירושלים רציף:  קומה: ,31.752369,35.216619
11878,9949,אהל יהושע/מנחת יצחק,רחוב: אוהל יהושע עיר: ירושלים רציף:  קומה: ,31.795719,35.210073
11904,9975,דולצ'ין/קוליץ,רחוב: אריה דולצ'ין 1 עיר: ירושלים רציף:  קומה: ,31.751799,35.167462
11910,9981,צומת פת/יהודה הנשיא,רחוב: יהודה הנשיא 4 עיר: ירושלים רציף:  קומה: ,31.756102,35.199188
11924,9995,דולצ'ין/יורם רונן,רחוב: אריה דולצ'ין 31 עיר: ירושלים רציף:  קומה: ,31.74791,35.171204
11928,9999,אהרון קציר/שדרות צ'רצ'יל,רחוב: אהרון קציר עיר: ירושלים רציף:  קומה: ,31.79708,35.236623
34213,6124,בי''ס היובל/דולצ'ין,רחוב: אריה דולצ'ין 25 עיר: ירושלים רציף:  קומה: ,31.749309,35.170777
36798,6214,שדרות משה דיין/מזל טלה,רחוב: שדרות משה דיין 15 עיר: ירושלים רציף:  קומה: ,31.835831,35.23401
37260,6229,ביטוח לאומי,רחוב: שדרות וייצמן עיר: ירושלים רציף:  קומה: ,31.785239,35.200539
37730,6269,בן צבי/רופין,רחוב: שדרות בן צבי 39 עיר: ירושלים רציף:  קומה: ,31.777844,35.20928
37731,6268,צומת משה ברעם,רחוב: דרך משה ברעם עיר: ירושלים רציף:  קומה: ,31.747019,35.209521
37732,6267,האומן/ברעם,רחוב: האומן 5 עיר: ירושלים רציף:  קומה: ,31.7473,35.212323
38123,6286,ש''י עגנון/קצנלסון,רחוב: שדרות ש''י עגנון עיר: ירושלים רציף:  קומה: ,31.761047,35.204508
38681,6300,שדרות יצחק בן צבי/בצלאל,רחוב: שדרות בן צבי עיר: ירושלים רציף:  קומה: ,31.781903,35.208398
38682,6299,שדרות יצחק בן צבי/בצלאל,רחוב: שדרות בן צבי 11 עיר: ירושלים רציף:  קומה: ,31.782368,35.208561
40026,463,שדרות שז''ר/בנייני האומה,רחוב: שדרות שז''ר עיר: ירושלים רציף:  קומה: ,31.787547,35.202639
40778,623,שדרות בן צבי/הרב שמואל ברוך,רחוב: שדרות בן צבי עיר: ירושלים רציף:  קומה: ,31.785992,35.207083
42749,6215,פארק ארכיאולוגי/חיל האויר,רחוב: חיל האוויר 65 עיר: ירושלים רציף:  קומה: ,31.831467,35.23964
43847,1371,האוניברסיטה העברית הר הצופים/מרטין בובר,רחוב: מרטין בובר עיר: ירושלים רציף:  קומה: ,31.795268,35.243206
43848,1370,מסוף הר הצופים/מרטין בובר,רחוב: מרטין בובר עיר: ירושלים רציף:  קומה: ,31.791037,35.247036
43850,1368,מחנה עופרית/מרטין בובר,רחוב: מרטין בובר עיר: ירושלים רציף:  קומה: ,31.79418,35.249122
43851,1367,אקדמיה בצלאל/מרטין בובר,רחוב: מרטין בובר עיר: ירושלים רציף:  קומה: ,31.792778,35.248272
48664,1698,בית הנוער העברי/הרב הרצוג,רחוב: הרב הרצוג עיר: ירושלים רציף:  קומה: ,31.759591,35.200001
50150,1963,שדרות בן צבי/הרב שמואל ברוך,רחוב: שדרות בן צבי 6 עיר: ירושלים רציף:  קומה: ,31.785841,35.207385
